variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
2015Geographical Barriers Sub-domain Rank (where 1 is most deprived),Numeric,32844,32837,0,0.0,,,1.0,32844.0,16422.49978687127,16422.5,9481.390473472055
2015Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Numeric,32844,10,0,0.0,,,1.0,10.0,5.500121787845573,5.5,2.8723250478048077
2015Wider Barriers Sub-domain Score,Numeric,32844,9850,0,0.0,,,-9.06,7.721,-0.001579497016197784,-0.177,2.413482582033542
2015Wider Barriers Sub-domain Rank (where 1 is most deprived),Numeric,32844,32838,0,0.0,,,1.0,32844.0,16422.499817318232,16422.5,9481.390432177543
2015Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Numeric,32844,10,0,0.0,,,1.0,10.0,5.500121787845573,5.5,2.8723250478048077
2015Indoors Sub-domain Score,Numeric,32844,4293,0,0.0,,,-3.429,2.997,1.765923760808597e-06,0.007,0.8626116705977058
2015Indoors Sub-domain Rank (where 1 is most deprived),Numeric,32844,32839,0,0.0,,,1.0,32844.0,16422.499847765193,16422.5,9481.390521590647
2015Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Numeric,32844,10,0,0.0,,,1.0,10.0,5.500121787845573,5.5,2.8723250478048077
2015Outdoors Sub-domain Score,Numeric,32844,4313,0,0.0,,,-3.839,3.212,1.6745828766292385e-06,-0.021,0.8527985803193894
2015Outdoors Sub-domain Rank (where 1 is most deprived),Numeric,32844,32836,0,0.0,,,1.0,32844.0,16422.49975642431,16422.5,9481.390589834651
2015Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Numeric,32844,10,0,0.0,,,1.0,10.0,5.500121787845573,5.5,2.8723250478048077
2015Total population: mid 2012 (excluding prisoners),Numeric,32844,1889,0,0.0,,,934.0,7976.0,1626.9068931920594,1572.0,315.3859759642028
2015Dependent Children aged 0-15: mid 2012 (excluding prisoners),Numeric,32844,793,0,0.0,,,12.0,1155.0,308.43252953355255,293.0,105.88273654571357
2015Population aged 16-59: mid 2012 (excluding prisoners),Numeric,32844,1630,0,0.0,,,329.0,7656.0,951.0755389112167,903.0,268.7567797614062
2015Older population aged 60 and over: mid 2012 (excluding prisoners),Numeric,32844,962,0,0.0,,,1.0,1406.0,367.39882474729023,353.0,147.18200710183535
2015Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) ,Numeric,32844,4693,0,0.0,,,350.75,7743.0,957.2414063451467,907.25,265.0047721256476
