Dataset,Level,Level Code,Classification Code,Classification Name
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3a1,University Centric 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3a2,Professional Progression 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3a3,Urbanite Mix
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3a4,Affluent Graduate Living 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3b1,Private Rental Ethnic Minority Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3b2,Young Ethnic Minority Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3c1,Centrally Located Professionals 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,3c2,Career Progression 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4a1,"Semi-Detached, Service Workers and Students "
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4a2,City Service Workers 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4a3,Multi-Child Young Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4b1,Migrant Families
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4b2,European Skilled Workforce 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4b3,Inner Suburb Ethnic Group Mix 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4b4,Ethnic Minority Routine Service Workers 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4c1,African and Asian Influences 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,4c2,European and Asian Heritage 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,5a1,Outer Suburb Asian Mix 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,5a2,Suburban Empty Nesters 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,5a3,Young Suburban Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,5b1,Families in Multi-Ethnic Terraces 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,5b2,Established Multi-Ethnic Suburbs 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6a1,Suburban Housing Starters 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6a2,Semi Detached Strivers 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6a3,Younger Ethnic Minority Families in Flats 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6b1,Retired Seniors 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6b2,Traditional Terraces 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6b3,EU Singles 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6c1,Transient Communities 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,6c2,Semi-Detached Family Renters 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,7a1,Ageing Established Urban Communities 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,7a2,Industry Associations 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,7b1,Terraces in Transitional Towns 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,7b2,Families and Later Life 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,8a1,Retirement Residences 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,8a2,Flats and Routine Occupations 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,8b1,Challenged Families 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,8b2,Retirement Pockets 
UK-OAC 2021/2 and LSOAC 2021/2,Subgroup,subg,8b3,Young Family Flat Renters
